instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
0,2011-01-01,1,0,1,0,1,5,0,1,0.0279,0.0375,0.5419,0.1847,1,11,12
1,2011-01-01,1,0,1,1,1,5,0,3,0.06,0.0763,0.4305,0.0544,0,2,2
2,2011-01-01,1,0,1,2,1,5,0,1,0.1243,0.0786,0.4358,0.0684,0,2,2
3,2011-01-01,1,0,1,3,1,5,0,2,0.0869,0.0441,0.4183,0.1403,0,1,1
4,2011-01-01,1,0,1,4,1,5,0,1,0.0535,0.0819,0.5437,0.087,0,2,2
5,2011-01-01,1,0,1,5,1,5,0,1,0.1246,0.088,0.5313,0.1187,0,6,6
6,2011-01-01,1,0,1,6,1,5,0,3,0.0944,0.1209,0.3486,0.0475,3,9,12
7,2011-01-01,1,0,1,7,1,5,0,1,0.1007,0.0478,0.5486,0.0116,21,52,73
8,2011-01-01,1,0,1,8,1,5,0,2,0.1126,0.1392,0.6341,0.0115,16,81,97
9,2011-01-01,1,0,1,9,1,5,0,1,0.1001,0.1293,0.4281,0.0559,9,48,57
10,2011-01-01,1,0,1,10,1,5,0,2,0.1252,0.1341,0.3443,0.1874,10,31,41
11,2011-01-01,1,0,1,11,1,5,0,1,0.0817,0.1286,0.107,0.0039,7,57,64
12,2011-01-01,1,0,1,12,1,5,0,1,0.0126,0.0438,0.6355,0.043,11,54,65
13,2011-01-01,1,0,1,13,1,5,0,2,0.0431,0.028,0.6373,0.2442,7,47,54
14,2011-01-01,1,0,1,14,1,5,0,2,0.1521,0.1574,0.4536,0.0175,7,46,53
15,2011-01-01,1,0,1,15,1,5,0,1,0.0983,0.1061,0.5008,0.081,8,49,57
16,2011-01-01,1,0,1,16,1,5,0,1,0.1061,0.1012,0.5322,0.1821,7,37,44
17,2011-01-01,1,0,1,17,1,5,0,3,0.0,0.0,0.509,0.0079,13,76,89
18,2011-01-01,1,0,1,18,1,5,0,3,0.0548,0.0421,0.551,0.0416,11,36,47
19,2011-01-01,1,0,1,19,1,5,0,2,0.123,0.0958,0.7104,0.1506,6,27,33
20,2011-01-01,1,0,1,20,1,5,0,1,0.0588,0.0865,0.756,0.0025,10,42,52
21,2011-01-01,1,0,1,21,1,5,0,1,0.0304,0.0446,0.3621,0.4141,5,40,45
22,2011-01-01,1,0,1,22,1,5,0,1,0.0657,0.0823,0.6566,0.1215,5,22,27
23,2011-01-01,1,0,1,23,1,5,0,1,0.0965,0.1199,0.3145,0.1942,3,8,11
24,2011-01-02,1,0,1,0,0,6,0,2,0.1144,0.1509,0.5339,0.0014,1,8,9
25,2011-01-02,1,0,1,1,0,6,0,2,0.1768,0.191,0.3213,0.1868,0,4,4
26,2011-01-02,1,0,1,2,0,6,0,1,0.122,0.16,0.5637,0.126,0,3,3
27,2011-01-02,1,0,1,3,0,6,0,1,0.039,0.0145,0.4884,0.3339,0,2,2
28,2011-01-02,1,0,1,4,0,6,0,2,0.2202,0.223,0.289,0.1923,0,2,2
29,2011-01-02,1,0,1,5,0,6,0,1,0.0299,0.0444,0.4665,0.0023,3,8,11
30,2011-01-02,1,0,1,6,0,6,0,1,0.0609,0.0842,0.6568,0.0572,3,24,27
31,2011-01-02,1,0,1,7,0,6,0,1,0.0922,0.1037,0.3674,0.1432,24,58,82
32,2011-01-02,1,0,1,8,0,6,0,1,0.1364,0.1379,0.6309,0.1818,20,101,121
33,2011-01-02,1,0,1,9,0,6,0,1,0.1092,0.1247,0.5773,0.2401,24,82,106
34,2011-01-02,1,0,1,10,0,6,0,2,0.0951,0.1004,0.3271,0.0148,6,23,29
35,2011-01-02,1,0,1,11,0,6,0,1,0.1992,0.1432,0.6029,0.0046,3,34,37
36,2011-01-02,1,0,1,12,0,6,0,2,0.0388,0.0288,0.7341,0.0365,12,44,56
37,2011-01-02,1,0,1,13,0,6,0,1,0.0858,0.0662,0.8216,0.1942,19,48,67
38,2011-01-02,1,0,1,14,0,6,0,1,0.1359,0.117,0.4333,0.0123,3,33,36
39,2011-01-02,1,0,1,15,0,6,0,3,0.1087,0.1347,0.32,0.0255,4,29,33
40,2011-01-02,1,0,1,16,0,6,0,1,0.1308,0.1688,0.5566,0.1419,18,81,99
41,2011-01-02,1,0,1,17,0,6,0,1,0.1468,0.1256,0.5666,0.0964,13,102,115
42,2011-01-02,1,0,1,18,0,6,0,1,0.0187,0.0156,0.2008,0.1435,13,46,59
43,2011-01-02,1,0,1,19,0,6,0,1,0.1556,0.1125,0.6745,0.1612,7,48,55
44,2011-01-02,1,0,1,20,0,6,0,1,0.0734,0.0752,0.5971,0.1285,8,38,46
45,2011-01-02,1,0,1,21,0,6,0,2,0.1901,0.1316,0.4772,0.4874,9,24,33
46,2011-01-02,1,0,1,22,0,6,0,1,0.0592,0.0654,0.6327,0.0035,5,17,22
47,2011-01-02,1,0,1,23,0,6,0,1,0.1013,0.0806,0.6349,0.1992,3,12,15
48,2011-01-03,1,0,1,0,0,0,1,1,0.1111,0.0898,0.2318,0.2247,1,6,7
49,2011-01-03,1,0,1,1,0,0,1,3,0.0726,0.1056,0.6238,0.0163,0,3,3
50,2011-01-03,1,0,1,2,0,0,1,1,0.0573,0.0858,0.4641,0.0016,0,3,3
51,2011-01-03,1,0,1,3,0,0,1,1,0.0997,0.0958,0.5145,0.1499,0,2,2
52,2011-01-03,1,0,1,4,0,0,1,1,0.1437,0.1078,0.6156,0.2338,0,3,3
53,2011-01-03,1,0,1,5,0,0,1,1,0.0873,0.067,0.6463,0.0648,1,8,9
54,2011-01-03,1,0,1,6,0,0,1,1,0.1142,0.1549,0.435,0.2588,7,24,31
55,2011-01-03,1,0,1,7,0,0,1,1,0.0111,0.0,0.3922,0.2252,19,72,91
56,2011-01-03,1,0,1,8,0,0,1,1,0.0684,0.0682,0.3976,0.019,14,104,118
57,2011-01-03,1,0,1,9,0,0,1,2,0.1095,0.1554,0.4837,0.0505,18,48,66
58,2011-01-03,1,0,1,10,0,0,1,1,0.087,0.1165,0.571,0.1111,11,39,50
59,2011-01-03,1,0,1,11,0,0,1,2,0.1912,0.1681,0.6308,0.007,7,41,48
60,2011-01-03,1,0,1,12,0,0,1,3,0.0779,0.1072,0.2821,0.0313,8,37,45
61,2011-01-03,1,0,1,13,0,0,1,1,0.0455,0.05,0.5513,0.0556,21,61,82
62,2011-01-03,1,0,1,14,0,0,1,2,0.1206,0.1649,0.605,0.3016,4,41,45
63,2011-01-03,1,0,1,15,0,0,1,1,0.1425,0.1284,0.243,0.5256,20,56,76
64,2011-01-03,1,0,1,16,0,0,1,2,0.0,0.0,0.4837,0.3001,16,47,63
65,2011-01-03,1,0,1,17,0,0,1,4,0.0838,0.0852,0.4325,0.0898,5,35,40
66,2011-01-03,1,0,1,18,0,0,1,3,0.0151,0.0311,0.6591,0.0665,9,66,75
67,2011-01-03,1,0,1,19,0,0,1,2,0.1611,0.1645,0.6769,0.1204,11,45,56
68,2011-01-03,1,0,1,20,0,0,1,2,0.0325,0.0244,0.7234,0.0359,5,39,44
69,2011-01-03,1,0,1,21,0,0,1,1,0.1364,0.0837,0.3225,0.3518,3,17,20
70,2011-01-03,1,0,1,22,0,0,1,1,0.0592,0.0992,0.6472,0.4479,3,23,26
71,2011-01-03,1,0,1,23,0,0,1,3,0.0,0.0,0.5576,0.1018,1,7,8
72,2011-01-04,1,0,1,0,0,1,1,2,0.0773,0.0751,0.3348,0.0636,2,7,9
73,2011-01-04,1,0,1,1,0,1,1,1,0.0342,0.0493,0.4205,0.0292,0,4,4
74,2011-01-04,1,0,1,2,0,1,1,1,0.0118,0.006,0.5086,0.1759,0,1,1
75,2011-01-04,1,0,1,3,0,1,1,2,0.0485,0.0549,0.4832,0.2461,0,1,1
76,2011-01-04,1,0,1,4,0,1,1,1,0.0561,0.0193,0.8561,0.069,0,2,2
77,2011-01-04,1,0,1,5,0,1,1,2,0.1123,0.1217,0.9618,0.017,1,9,10
78,2011-01-04,1,0,1,6,0,1,1,1,0.043,0.0158,0.472,0.0583,4,25,29
79,2011-01-04,1,0,1,7,0,1,1,1,0.1679,0.1943,0.4988,0.0136,25,99,124
80,2011-01-04,1,0,1,8,0,1,1,1,0.0615,0.1089,0.4418,0.0677,23,80,103
81,2011-01-04,1,0,1,9,0,1,1,1,0.0136,0.0305,0.4024,0.031,10,54,64
82,2011-01-04,1,0,1,10,0,1,1,1,0.0,0.0205,0.5585,0.3009,12,37,49
83,2011-01-04,1,0,1,11,0,1,1,1,0.1085,0.0792,0.5149,0.1272,9,54,63
84,2011-01-04,1,0,1,12,0,1,1,2,0.0553,0.0252,0.542,0.0416,2,22,24
85,2011-01-04,1,0,1,13,0,1,1,1,0.1154,0.0656,0.4901,0.1141,4,41,45
86,2011-01-04,1,0,1,14,0,1,1,1,0.0534,0.0762,0.6659,0.1358,12,51,63
87,2011-01-04,1,0,1,15,0,1,1,1,0.1123,0.1063,0.5557,0.4179,7,45,52
88,2011-01-04,1,0,1,16,0,1,1,1,0.1079,0.1553,0.482,0.2379,10,66,76
89,2011-01-04,1,0,1,17,0,1,1,1,0.1032,0.0906,0.5435,0.0667,46,123,169
90,2011-01-04,1,0,1,18,0,1,1,1,0.071,0.11,0.3985,0.0538,13,40,53
91,2011-01-04,1,0,1,19,0,1,1,1,0.0998,0.0933,0.6244,0.3554,8,28,36
92,2011-01-04,1,0,1,20,0,1,1,1,0.0918,0.1088,0.3688,0.237,9,32,41
93,2011-01-04,1,0,1,21,0,1,1,1,0.0926,0.1,0.4311,0.0429,7,22,29
94,2011-01-04,1,0,1,22,0,1,1,1,0.159,0.171,0.4479,0.2583,3,26,29
95,2011-01-04,1,0,1,23,0,1,1,2,0.07,0.0406,0.4334,0.0391,3,10,13
96,2011-01-05,1,0,1,0,0,2,1,2,0.1528,0.183,0.2552,0.0636,1,7,8
97,2011-01-05,1,0,1,1,0,2,1,3,0.0,0.0449,0.5982,0.025,0,2,2
98,2011-01-05,1,0,1,2,0,2,1,1,0.0734,0.0748,0.7673,0.3836,0,3,3
99,2011-01-05,1,0,1,3,0,2,1,1,0.1776,0.218,0.739,0.4086,0,1,1
100,2011-01-05,1,0,1,4,0,2,1,1,0.2104,0.2261,0.4118,0.0612,0,2,2
101,2011-01-05,1,0,1,5,0,2,1,1,0.0329,0.0,0.6235,0.0638,1,9,10
102,2011-01-05,1,0,1,6,0,2,1,2,0.0084,0.0005,0.3312,0.0291,4,20,24
103,2011-01-05,1,0,1,7,0,2,1,1,0.0719,0.0928,0.7773,0.002,27,90,117
104,2011-01-05,1,0,1,8,0,2,1,1,0.0435,0.0386,0.5001,0.1357,13,110,123
105,2011-01-05,1,0,1,9,0,2,1,2,0.0934,0.0891,0.414,0.0056,10,44,54
106,2011-01-05,1,0,1,10,0,2,1,1,0.1529,0.0731,0.1882,0.123,4,33,37
107,2011-01-05,1,0,1,11,0,2,1,1,0.0131,0.0,0.3334,0.0039,9,65,74
108,2011-01-05,1,0,1,12,0,2,1,2,0.079,0.0799,0.3943,0.1672,4,43,47
109,2011-01-05,1,0,1,13,0,2,1,1,0.0573,0.0719,0.3167,0.0157,10,58,68
110,2011-01-05,1,0,1,14,0,2,1,2,0.0952,0.1028,0.747,0.0344,5,32,37
111,2011-01-05,1,0,1,15,0,2,1,2,0.0998,0.0623,0.6386,0.2551,8,41,49
112,2011-01-05,1,0,1,16,0,2,1,1,0.1493,0.0967,0.6135,0.079,11,42,53
113,2011-01-05,1,0,1,17,0,2,1,1,0.094,0.0911,0.4183,0.3043,25,104,129
114,2011-01-05,1,0,1,18,0,2,1,2,0.0667,0.1071,0.8233,0.0447,11,81,92
115,2011-01-05,1,0,1,19,0,2,1,2,0.0844,0.0948,0.419,0.0028,13,34,47
116,2011-01-05,1,0,1,20,0,2,1,1,0.002,0.0186,0.8008,0.2656,7,44,51
117,2011-01-05,1,0,1,21,0,2,1,1,0.0963,0.1258,0.7498,0.0289,11,31,42
118,2011-01-05,1,0,1,22,0,2,1,1,0.1027,0.0316,0.4478,0.1386,3,22,25
119,2011-01-05,1,0,1,23,0,2,1,1,0.0373,0.0,0.3536,0.1253,3,15,18
120,2011-01-06,1,0,1,0,0,3,1,2,0.0883,0.0936,0.5911,0.0079,0,5,5
121,2011-01-06,1,0,1,1,0,3,1,1,0.141,0.1199,0.4948,0.1749,1,5,6
122,2011-01-06,1,0,1,2,0,3,1,1,0.1085,0.1245,0.3368,0.1338,0,3,3
123,2011-01-06,1,0,1,3,0,3,1,1,0.0798,0.0984,0.5267,0.3095,0,1,1
124,2011-01-06,1,0,1,4,0,3,1,2,0.1478,0.1797,0.4319,0.1008,0,2,2
125,2011-01-06,1,0,1,5,0,3,1,3,0.105,0.1112,0.5407,0.3706,0,4,4
126,2011-01-06,1,0,1,6,0,3,1,2,0.1058,0.0994,0.6694,0.2792,4,21,25
127,2011-01-06,1,0,1,7,0,3,1,2,0.0883,0.0744,0.4348,0.012,18,58,76
128,2011-01-06,1,0,1,8,0,3,1,1,0.0704,0.0745,0.5619,0.2346,11,62,73
129,2011-01-06,1,0,1,9,0,3,1,1,0.0968,0.1235,0.5123,0.4197,22,65,87
130,2011-01-06,1,0,1,10,0,3,1,4,0.1447,0.1241,0.4235,0.1481,1,6,7
131,2011-01-06,1,0,1,11,0,3,1,3,0.0612,0.1048,0.7369,0.0409,3,26,29
132,2011-01-06,1,0,1,12,0,3,1,1,0.0332,0.0017,0.2099,0.1707,7,42,49
133,2011-01-06,1,0,1,13,0,3,1,3,0.1327,0.1263,0.4926,0.1426,5,35,40
134,2011-01-06,1,0,1,14,0,3,1,4,0.1418,0.1905,0.2645,0.0291,2,14,16
135,2011-01-06,1,0,1,15,0,3,1,1,0.0516,0.0873,0.7131,0.1786,6,47,53
136,2011-01-06,1,0,1,16,0,3,1,2,0.0482,0.0271,0.8536,0.1302,8,67,75
137,2011-01-06,1,0,1,17,0,3,1,2,0.0529,0.0412,0.5429,0.1597,22,86,108
138,2011-01-06,1,0,1,18,0,3,1,1,0.0,0.0,0.6326,0.1027,8,69,77
139,2011-01-06,1,0,1,19,0,3,1,1,0.0576,0.0643,0.4975,0.0983,17,64,81
140,2011-01-06,1,0,1,20,0,3,1,2,0.1497,0.1157,0.2541,0.3163,10,31,41
141,2011-01-06,1,0,1,21,0,3,1,2,0.1245,0.1397,0.66,0.1446,9,27,36
142,2011-01-06,1,0,1,22,0,3,1,1,0.065,0.04,0.3966,0.2555,7,20,27
143,2011-01-06,1,0,1,23,0,3,1,1,0.093,0.0944,0.296,0.1508,3,14,17
144,2011-01-07,1,0,1,0,0,4,1,2,0.0968,0.0848,0.5807,0.0628,1,7,8
145,2011-01-07,1,0,1,1,0,4,1,3,0.0612,0.067,0.661,0.0105,0,2,2
146,2011-01-07,1,0,1,2,0,4,1,1,0.0595,0.0633,0.5551,0.0037,0,2,2
147,2011-01-07,1,0,1,3,0,4,1,1,0.1618,0.1598,0.4167,0.048,0,2,2
148,2011-01-07,1,0,1,4,0,4,1,1,0.022,0.0167,0.5973,0.0374,0,3,3
149,2011-01-07,1,0,1,5,0,4,1,2,0.0195,0.0457,0.5975,0.0816,1,7,8
150,2011-01-07,1,0,1,6,0,4,1,1,0.1284,0.1222,0.3934,0.0047,5,20,25
151,2011-01-07,1,0,1,7,0,4,1,1,0.0794,0.1129,0.5514,0.2211,27,77,104
152,2011-01-07,1,0,1,8,0,4,1,2,0.0363,0.046,0.6874,0.0985,13,99,112
153,2011-01-07,1,0,1,9,0,4,1,1,0.0497,0.1037,0.494,0.01,11,40,51
154,2011-01-07,1,0,1,10,0,4,1,1,0.0518,0.0816,0.4585,0.0113,8,41,49
155,2011-01-07,1,0,1,11,0,4,1,1,0.0043,0.0271,0.6179,0.227,6,53,59
156,2011-01-07,1,0,1,12,0,4,1,1,0.0703,0.0582,0.8603,0.1818,13,51,64
157,2011-01-07,1,0,1,13,0,4,1,1,0.0939,0.0327,0.4629,0.0051,5,46,51
158,2011-01-07,1,0,1,14,0,4,1,1,0.0933,0.0614,0.6483,0.0335,8,53,61
159,2011-01-07,1,0,1,15,0,4,1,1,0.1535,0.1812,0.5089,0.1852,14,38,52
160,2011-01-07,1,0,1,16,0,4,1,2,0.0545,0.0872,0.5172,0.255,14,61,75
161,2011-01-07,1,0,1,17,0,4,1,2,0.1703,0.1762,0.4023,0.3081,13,79,92
162,2011-01-07,1,0,1,18,0,4,1,3,0.0319,0.016,0.5928,0.1034,14,56,70
163,2011-01-07,1,0,1,19,0,4,1,2,0.0854,0.089,0.592,0.0112,4,40,44
164,2011-01-07,1,0,1,20,0,4,1,1,0.138,0.1347,0.6399,0.0831,8,44,52
165,2011-01-07,1,0,1,21,0,4,1,1,0.0947,0.1261,0.7526,0.1,8,23,31
166,2011-01-07,1,0,1,22,0,4,1,3,0.0018,0.0,0.6201,0.0355,3,12,15
167,2011-01-07,1,0,1,23,0,4,1,2,0.0522,0.0641,0.5741,0.0297,1,12,13
168,2011-01-08,1,0,1,0,0,5,0,3,0.0997,0.0909,0.2524,0.3069,0,5,5
169,2011-01-08,1,0,1,1,0,5,0,1,0.1409,0.0887,0.4456,0.5231,0,3,3
170,2011-01-08,1,0,1,2,0,5,0,2,0.1389,0.1176,0.2666,0.0115,0,2,2
171,2011-01-08,1,0,1,3,0,5,0,1,0.1333,0.1185,0.2665,0.144,0,1,1
172,2011-01-08,1,0,1,4,0,5,0,1,0.1258,0.1625,0.6822,0.2457,0,2,2
173,2011-01-08,1,0,1,5,0,5,0,2,0.0705,0.0647,0.4893,0.1136,2,6,8
174,2011-01-08,1,0,1,6,0,5,0,1,0.0769,0.0459,0.4715,0.1062,3,29,32
175,2011-01-08,1,0,1,7,0,5,0,1,0.1293,0.1397,0.6497,0.1007,7,26,33
176,2011-01-08,1,0,1,8,0,5,0,1,0.0366,0.0559,0.5415,0.088,23,63,86
177,2011-01-08,1,0,1,9,0,5,0,1,0.127,0.1419,0.5226,0.1031,14,50,64
178,2011-01-08,1,0,1,10,0,5,0,2,0.061,0.0631,0.5296,0.1693,6,40,46
179,2011-01-08,1,0,1,11,0,5,0,2,0.1652,0.1308,0.5454,0.85,4,35,39
180,2011-01-08,1,0,1,12,0,5,0,3,0.1338,0.1262,0.5511,0.2012,13,37,50
181,2011-01-08,1,0,1,13,0,5,0,1,0.143,0.1061,0.5896,0.2398,12,56,68
182,2011-01-08,1,0,1,14,0,5,0,2,0.0895,0.0587,0.3083,0.1783,5,26,31
183,2011-01-08,1,0,1,15,0,5,0,1,0.0515,0.0119,0.7463,0.1449,13,59,72
184,2011-01-08,1,0,1,16,0,5,0,1,0.0865,0.1202,0.4319,0.0626,13,61,74
185,2011-01-08,1,0,1,17,0,5,0,1,0.1346,0.2078,0.7076,0.2515,27,84,111
186,2011-01-08,1,0,1,18,0,5,0,3,0.0709,0.0826,0.4717,0.016,10,43,53
187,2011-01-08,1,0,1,19,0,5,0,1,0.0341,0.001,0.527,0.0559,15,55,70
188,2011-01-08,1,0,1,20,0,5,0,2,0.0533,0.0057,0.4799,0.1714,5,32,37
189,2011-01-08,1,0,1,21,0,5,0,1,0.0534,0.063,0.2611,0.4942,7,31,38
190,2011-01-08,1,0,1,22,0,5,0,2,0.0545,0.0565,0.5708,0.138,5,16,21
191,2011-01-08,1,0,1,23,0,5,0,2,0.0484,0.0285,0.2896,0.2748,4,13,17
192,2011-01-09,1,0,1,0,0,6,0,1,0.1209,0.0998,0.6204,0.0827,1,7,8
